NAME_1,NAME_2,DESC_OCC,RACE,STATE_DATE,END_DATE,BOS_START_DATE,BOS_END_DATE,TYPE,ACTION,START_LOC,END_LOC,LAT,LONG,ORIG_ADDRESS,RECORDS,DIGS,IIIF,HAD,SOURCE,LD,OTHER_REPO,NOTES,LAYER,TITLE_1,URL_1,TITLE_2,URL_2,TITLE_3,URL_3
Afric-American Female Intelligence Society,,,,1832-00-00,1833-00-00,1832-00-00,1833-00-00,Organization,met occassionally,,,,,,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,No stable address found,"Boston, 1780-1880",,,,,,
African Baptist Church,,,,,,,,Organization,met,1806,1838,42.359983,-71.065481,Smith Court,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
African Lodge #459,,,,1784-00-00,,1784-00-00,,Organization,met,1784,1799,42.357707,-71.056215,,990117369670203941; 990023372680203941; 990023022880203941,https://iiif.lib.harvard.edu/manifests/view/ids:11735119,https://iiif.lib.harvard.edu/manifests/ids:11735119,,"James Sidbury, Becoming African in America: Race and Nation in the Early Black Atlantic, 1760-1830. Oxford University Press, 2007.. ",Q55603297,,"""Throughout the 1780s and 1790s, Lodge No. 459 met in Boston at Prince Hall's leather shop at the sign of the Golden Fleece"" (Sidbury, 75); The sign of the Golden Fleece seems to have been on Water street (https://books.google.com/books?id=oE8uAAAAYAAJ&pg=PA6&)","Boston, 1780-1880","Certificate of initiation : manuscript, 1799 june 23",https://id.lib.harvard.edu/alma/990117369670203941/catalog,"Charge delivered to the brethren of the african lodge on the 25th of june, 1792",https://id.lib.harvard.edu/alma/990023372680203941/catalog,Sermon preached on the 24th day of june 1789,https://id.lib.harvard.edu/alma/990023022880203941/catalog
African Lodge #459,,,,1784-00-00,,1784-00-00,,Organization,met,1811,,,,,990117369670203941; 990023372680203941; 990023022880203941,https://iiif.lib.harvard.edu/manifests/view/ids:11735119,https://iiif.lib.harvard.edu/manifests/ids:11735119,,"James Sidbury, Becoming African in America: Race and Nation in the Early Black Atlantic, 1760-1830. Oxford University Press, 2007.. ",Q55603297,,Met for a time in the African Meeting House,"Boston, 1780-1880","Certificate of initiation : manuscript, 1799 june 23",https://id.lib.harvard.edu/alma/990117369670203941/catalog,"Charge delivered to the brethren of the african lodge on the 25th of june, 1792",https://id.lib.harvard.edu/alma/990023372680203941/catalog,Sermon preached on the 24th day of june 1789,https://id.lib.harvard.edu/alma/990023022880203941/catalog
Boarding house,,,,1848-00-00,1859-00-00,1848-00-00,1859-00-00,Organization,was,1848,1859,42.36036,-71.06963,81-83 Southac St,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,The boarding house was operated by John R. Taylor through early 1855 and then by William T. Manix. People living in this boarding house sheltered many fugitive people fleeing enslavement.,"Boston, 1780-1880",,,,,,
Boston Vigilance Committee,,,,1841-00-00,1861-00-00,1841-00-00,1861-00-00,Organization,met,,1850,42.36004,-71.05624,Faneuil Hall,990076288080203941; 990019318810203941; 990045709980203941,https://hdl.handle.net/2027/hvd.32044018978874,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",Q4948198,,,"Boston, 1780-1880","[treasurers accounts, 1850-1861]",https://id.lib.harvard.edu/alma/990076288080203941/catalog,"Address of the committee appointed to a public meeting held at faneuil hall, september 24, 1846",https://id.lib.harvard.edu/alma/990019318810203941/catalog,"[circular letter,] mar. 3, 1851",https://id.lib.harvard.edu/alma/990045709980203941/catalog
Boston Vigilance Committee,,,,1841-00-00,1861-00-00,1841-00-00,1861-00-00,Organization,was founded,,1841,42.35603,-71.06006,Marlboro Chapel,990076288080203941; 990019318810203941; 990045709980203941,https://hdl.handle.net/2027/hvd.32044018978874,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",Q4948198,,,"Boston, 1780-1880","[treasurers accounts, 1850-1861]",https://id.lib.harvard.edu/alma/990076288080203941/catalog,"Address of the committee appointed to a public meeting held at faneuil hall, september 24, 1846",https://id.lib.harvard.edu/alma/990019318810203941/catalog,"[circular letter,] mar. 3, 1851",https://id.lib.harvard.edu/alma/990045709980203941/catalog
Charles Street African Methodist Episcopal Church,,,,1833-00-00,,1833-00-00,,Organization,met,1841,1876,42.35998,-71.06784,,,,,,"Boston African American National Historic Site.. Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",Q5082719,,,"Boston, 1780-1880",,,,,,
Charles Street African Methodist Episcopal Church,,,,1833-00-00,,1833-00-00,,Organization,met,1876,1939,42.35788,-71.07061,,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",Q5082719,,,"Boston, 1780-1880",,,,,,
Columbus Avenue AME Zion Church,,,,1838-00-00,,1838-00-00,,Organization,met,1841,1902,42.361735,-71.066052,North Russell St,,,,,"Boston African American National Historic Site.. Columbus Avenue AME Zion Church website.. Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
Columbus Avenue AME Zion Church,,,,1838-00-00,,1838-00-00,,Organization,met,1903,,42.339983,-71.082219,600 Columbus Ave,,,,,"Boston African American National Historic Site.. Columbus Avenue AME Zion Church website.. Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,,,,,,,
First Independent Baptist Church,,,,,,,,Organization,met,1838,1897,42.359983,-71.065481,Smith Court,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",Q3329655,,,"Boston, 1780-1880",,,,,,
Home for Aged Colored Women,,,,,,,,Organization,was,1864,1900,42.35942,-71.06547,27 Myrtle St,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
Home for Aged Colored Women,,,,,,,,Organization,was,1860,1863,42.36035,-71.06903,65 Southac,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
Massachusetts Anti-Slavery Society,,,,1835-00-00,1860-00-00,1835-00-00,1860-00-00,Organization,met,1836,,42.359123,-71.057659,21 Cornhill,990072976030203941; 990056262020203941,https://babel.hathitrust.org/cgi/pt?id=hvd.32044011670247,,,"Wikipedia.. Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",Q6784177,,1836 Boston Directory lists at 46 Washington ,"Boston, 1780-1880",Annual report and proceedings,https://id.lib.harvard.edu/alma/990072976030203941/catalog,Proceedings of the massachusetts anti-slavery society at the annual meetings held in,https://id.lib.harvard.edu/alma/990056262020203941/catalog,,
Massachusetts General Colored Association,,,,1826-00-00,1833-00-00,1826-00-00,1833-00-00,Organization,met occassionally,1826,1833,42.359983,-71.065481,,,,,,"Wikipedia.. Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",Q6784271,,"met in various places, but sometimes the African Meeting House","Boston, 1780-1880",,,,,,
New England Freedom Association,,,,1842-00-00,1848-00-00,1842-00-00,1848-00-00,Organization,met,1842,,42.359983,-71.065481,,,,,,"Wikipedia.. Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",Q39086809,,,"Boston, 1780-1880",,,,,,
Revere Street Methodist Episcopal Church,,,,1818-00-00,,1818-00-00,,Organization,met,1835,1911,42.359589,-71.069324,,,,,,"Boston African American National Historic Site.. Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,"Black congregants were given their own local pastor (Samuel Snowden) in 1818, and their own church on May Street in 1823, under the sponsorship of Bromfield, who built a larger facility on Revere Street in 1835 for the black congregation","Boston, 1780-1880",,,,,,
Revere Street Methodist Episcopal Church,,,,1818-00-00,,1818-00-00,,Organization,met,1823,1834,,,,,,,,"Boston African American National Historic Site.. Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,"Black congregants were given their own local pastor (Samuel Snowden) in 1818, and their own church on May Street in 1823, under the sponsorship of Bromfield, who built a larger facility on Revere Street in 1835 for the black congregation","Boston, 1780-1880",,,,,,
Samuel Guild's boarding house,,,,,,,182U-00-00,Organization,was,1820,1829,42.36018,-71.06942,,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,Source does not list years of operation.,"Boston, 1780-1880",,,,,,
Temperance House,,,,1846-00-00,1847-00-00,1846-00-00,1847-00-00,Organization,was,1846,1847,,,40 Southac St,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,"John R. Taylor operated a boardinghouse called “Temperance House” at 40 Southac Street in 1846 and 1847. Taylor boarded John H. Lomax, Henry H. Garnet, Joseph Johnson, and Thomas Miller as they fled enslavement.","Boston, 1780-1880",,,,,,
Twelfth Baptist Church,,,,1840-00-00,,1840-00-00,,Organization,met,1850,1906,42.3604427,-71.0681428,,,,,,"Wikipedia.. Boston African American National Historic Site.. Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",Q23302352,,45 phillips st according to 1880 city directory https://books.google.com/books?id=NSFFAQAAMAAJ&pg=PA1330&,"Boston, 1780-1880",,,,,,
New England Freedmen's Aid Society,,,,1862-00-00,1865-00-00,1862-00-00,1865-00-00,Organization,,,,,,,990101337990203941; 990056611900203941;,,,,,,,,,"Daily journal : manuscript, 1869-1871",https://id.lib.harvard.edu/alma/990101337990203941/catalog,First annual report of the educational commission for freedmen,https://id.lib.harvard.edu/alma/990056611900203941/catalog,,
Andrew,John Albion,,white,1818-00-00,1867-00-00,,,Person,lived,1858,1867,42.35895,-71.07088,71 Charles St,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",Q880970,,,"Boston, 1780-1880",,,,,,
Babcock,Tristram,mariner,Black,,,,,Person,lived,1815,1817,42.35889,-71.06529,5 Pinckney St,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
Bannister,Edward Mitchell,,Black,1823-00-00,1901-00-00,185U-00-00,1870-00-00,Person,lived,,1860,42.360227,-71.069209,,,,,,"Lorraine Elena Roses, Black Bostonians and the Politics of Culture, 1920-1940. University of Massachusetts Press, 2017.. ",Q1293032,https://art.thewalters.org/detail/4695; https://americanart.si.edu/artwork/dorchester-1856-942; https://americanart.si.edu/artwork/untitled-moon-over-harbor-wharf-scene-full-moon-and-masts-boats-1043,"during the 1860s, the Bannisters lived on Beacon hill at 70 southac (now Phillips) street (Roses)","Boston, 1780-1880",,,,,,
Barrett,Charles,,Black,,,,,Person,owned property,1822,1835,42.36049,-71.06502,18 Belknap,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
Beal,David,grocer,Black,,,,,Person,owned property,1833,1844,,,7A Smith Court,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
Black,Leonard,,Black,1820-00-00,1883-00-00,1837-00-00,1842-00-00,Person,lived,1839,1842,42.360792,-71.065015,8 Belknap St,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",Q6525128,https://docsouth.unc.edu/neh/black/menu.html,8 Belknap Street is now 81 Joy Street,"Boston, 1780-1880",,,,,,
Black,George H.,minister,Black,,1842-00-00,1839-00-00,1842-00-00,Person,lived,1839,1842,42.360792,-71.065015,8 Belknap St,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,8 Belknap Street is now 81 Joy Street,"Boston, 1780-1880",,,,,,
Black,George H.,minister,Black,,1842-00-00,1839-00-00,1842-00-00,Person,worked,1838,1842,42.359983,-71.065481,Smith Court,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,Founding minister for the Twelfth Baptist Church,"Boston, 1780-1880",,,,,,
Bradford,George,laborer,Black,,,,,Person,lived,1837,1843,,,7A Smith Court,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
Brown,William Wells,,Black,1814-00-00,1884-00-00,1854-00-00,1884-00-00,Person,lived,,1878,42.344533,-71.06516,,,,,,Wikipedia.. ,Q961244,,7 decatur st for house and office in 1878 City directory; 1876 city directory lists 140 Court st with a house in Cambridgeport,"Boston, 1780-1880",,,,,,
Burns,Anthony,,Black,1834-05-31,1862-07-17,1854-03-05,1854-06-02,Person,boarded,,1854,42.36049,-71.06502,18 Belknap,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",Q2852821,,,"Boston, 1780-1880",,,,,,
Caples,Charles V.,,Black,,,,,Person,lived,1833,1836,42.36069,-71.06506,12 Belknap St,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
Clark,Anthony F.,hairdresser,Black,,,,,Person,owned property,1836,1838,42.36069,-71.06506,12 Belknap St,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
Clark,Anthony F.,hairdresser,Black,,,,,Person,lived,1839,1850,42.36069,-71.06506,12 Belknap St,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
Clark,Anthony F.,hairdresser,Black,,,,,Person,worked,1837,,,,14 School St,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
Coburn,John,clothing,Black,1811-00-00,1873-00-00,1811-00-00,1873-00-00,Person,lived,1845,1873,42.360272,-71.066456,Corner of Southac and Butolph,,,,,"Wikipedia.. Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",Q40384422,,,"Boston, 1780-1880",,,,,,
Coburn,John,clothing,Black,1811-00-00,1873-00-00,1811-00-00,1873-00-00,Person,lived,1835,1843,42.36012,-71.06734,3 Coburn Court,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",Q40384422,,,"Boston, 1780-1880",,,,,,
Cole,Thomas,barber,Black,,,,1847-00-00,Person,lived,1836,1843,42.36018,-71.0692,68-70 Southac St,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
Craft,Willam,,Black,,,,,Person,lived,,1850,42.360223,-71.069049,66 Southac St,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",Q18534974,,,"Boston, 1780-1880",,,,,,
Craft,Willam,cabinetmaking,Black,,,,,Person,worked,,1850,,,51 Cambridge,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",Q18534974,,,"Boston, 1780-1880",,,,,,
Craft,Ellen,,Black,,,,,Person,lived,,1850,42.360223,-71.069049,66 Southac St,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",Q18528650,,,"Boston, 1780-1880",,,,,,
Crawford,Harrison,,Black,,,,,Person,lived,,1850,42.360223,-71.069049,66 Southac St,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
Crumpler,Rebecca Lee ,,Black,1831-00-00,1895-00-00,1860-00-00,1895-00-00,Person,boarded,,1869,42.36049,-71.06502,18 Belknap,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",Q4793563,,,"Boston, 1780-1880",,,,,,
Crumpler,Rebecca Lee ,,Black,1831-00-00,1895-00-00,1860-00-00,1895-00-00,Person,lived,,1870,42.360696,-71.06687,,,,,,Wikipedia.. ,Q4793563,,"Ward 6 of Boston in 1870 census; then in Hyde Park, Norfolk County; 1870 city directory lists her as 20 Garden St","Boston, 1780-1880",,,,,,
Custom,Peter,,Black,,,,,Person,lived,,1850,42.360223,-71.069049,66 Southac St,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
De Randamie,Cornelius A. ,,Black,,,,,Person,lived,1827,1829,42.360792,-71.065015,8 Belknap St,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
Farmer,Stephen,cook,Black,,,,,Person,lived,1835,1838,,,2 Smith Court,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
Garrison,William Lloyd,,white,1805-00-00,1879-00-00,1831-00-00,1879-00-00,Person,lived,1864,1879,42.326111,-71.093889,,990006022260203941; 990149109750203941; 990092065210203941,,,,Wikipedia.. ,Q360155,,,"Boston, 1780-1880","Garrison family papers, 1801-1948 (inclusive), 1840-1907 (bulk)",https://id.lib.harvard.edu/alma/990006022260203941/catalog,"John phillips reynolds jr. collection of letters to wendell phillips, circa 1830-1870",https://id.lib.harvard.edu/alma/990149109750203941/catalog,"Garrison family correspondence, 1857-1919",https://id.lib.harvard.edu/alma/990092065210203941/catalog
Garrison,William Lloyd,,white,1805-00-00,1879-00-00,1831-00-00,1879-00-00,Person,lived,,1851,,,65 S. Suffolk,990006022260203941; 990149109750203941; 990092065210203941,,,,Wikipedia.. ,Q360155,,Listing in the 1851 Boston Directory.,"Boston, 1780-1880","Garrison family papers, 1801-1948 (inclusive), 1840-1907 (bulk)",https://id.lib.harvard.edu/alma/990006022260203941/catalog,"John phillips reynolds jr. collection of letters to wendell phillips, circa 1830-1870",https://id.lib.harvard.edu/alma/990149109750203941/catalog,"Garrison family correspondence, 1857-1919",https://id.lib.harvard.edu/alma/990092065210203941/catalog
Garrison,William Lloyd,,white,1805-00-00,1879-00-00,1831-00-00,1879-00-00,Person,lived,,1856,42.35056,-71.06405,14 Dix place,990006022260203941; 990149109750203941; 990092065210203941,,,,Wikipedia.. ,Q360155,,Listing in the 1856 Boston Directory.,"Boston, 1780-1880","Garrison family papers, 1801-1948 (inclusive), 1840-1907 (bulk)",https://id.lib.harvard.edu/alma/990006022260203941/catalog,"John phillips reynolds jr. collection of letters to wendell phillips, circa 1830-1870",https://id.lib.harvard.edu/alma/990149109750203941/catalog,"Garrison family correspondence, 1857-1919",https://id.lib.harvard.edu/alma/990092065210203941/catalog
Glapion,Louis,barber,Black,,,,1813-00-00,Person,lived,1786,1813,42.35889,-71.06529,5 Pinckney St,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
Glapion,Lucy,,Black,,,,,Person,lived,1786,1832,42.35889,-71.06529,5 Pinckney St,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
Goddard,William,,Black,,,,,Person,lived,,1841,42.359983,-71.065481,basement of the African Meeting House,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
